model_type,vector_size,window,negative,epochs,vocab_size,train_seconds,model_path
cbow,100,3,5,20,2344,63.806,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/cbow_dim100_win3_neg5.model
cbow,100,3,10,20,2344,93.009,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/cbow_dim100_win3_neg10.model
cbow,100,5,5,20,2344,65.369,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/cbow_dim100_win5_neg5.model
cbow,100,5,10,20,2344,92.957,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/cbow_dim100_win5_neg10.model
cbow,100,8,5,20,2344,66.085,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/cbow_dim100_win8_neg5.model
cbow,100,8,10,20,2344,93.462,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/cbow_dim100_win8_neg10.model
cbow,200,3,5,20,2344,67.475,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/cbow_dim200_win3_neg5.model
cbow,200,3,10,20,2344,97.56,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/cbow_dim200_win3_neg10.model
cbow,200,5,5,20,2344,68.355,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/cbow_dim200_win5_neg5.model
cbow,200,5,10,20,2344,98.546,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/cbow_dim200_win5_neg10.model
cbow,200,8,5,20,2344,69.598,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/cbow_dim200_win8_neg5.model
cbow,200,8,10,20,2344,100.721,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/cbow_dim200_win8_neg10.model
cbow,300,3,5,20,2344,69.545,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/cbow_dim300_win3_neg5.model
cbow,300,3,10,20,2344,100.085,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/cbow_dim300_win3_neg10.model
cbow,300,5,5,20,2344,70.143,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/cbow_dim300_win5_neg5.model
cbow,300,5,10,20,2344,101.08,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/cbow_dim300_win5_neg10.model
cbow,300,8,5,20,2344,71.412,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/cbow_dim300_win8_neg5.model
cbow,300,8,10,20,2344,102.234,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/cbow_dim300_win8_neg10.model
skipgram,100,3,5,20,2344,207.149,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/skipgram_dim100_win3_neg5.model
skipgram,100,3,10,20,2344,324.374,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/skipgram_dim100_win3_neg10.model
skipgram,100,5,5,20,2344,307.279,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/skipgram_dim100_win5_neg5.model
skipgram,100,5,10,20,2344,484.635,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/skipgram_dim100_win5_neg10.model
skipgram,100,8,5,20,2344,472.146,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/skipgram_dim100_win8_neg5.model
skipgram,100,8,10,20,2344,706.074,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/skipgram_dim100_win8_neg10.model
skipgram,200,3,5,20,2344,217.632,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/skipgram_dim200_win3_neg5.model
skipgram,200,3,10,20,2344,338.615,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/skipgram_dim200_win3_neg10.model
skipgram,200,5,5,20,2344,324.002,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/skipgram_dim200_win5_neg5.model
skipgram,200,5,10,20,2344,501.232,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/skipgram_dim200_win5_neg10.model
skipgram,200,8,5,20,2344,475.832,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/skipgram_dim200_win8_neg5.model
skipgram,200,8,10,20,2344,742.017,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/skipgram_dim200_win8_neg10.model
skipgram,300,3,5,20,2344,220.796,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/skipgram_dim300_win3_neg5.model
skipgram,300,3,10,20,2344,341.589,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/skipgram_dim300_win3_neg10.model
skipgram,300,5,5,20,2344,327.45,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/skipgram_dim300_win5_neg5.model
skipgram,300,5,10,20,2344,508.441,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/skipgram_dim300_win5_neg10.model
skipgram,300,8,5,20,2344,484.652,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/skipgram_dim300_win8_neg5.model
skipgram,300,8,10,20,2344,761.941,/home/mayank/my_folders/IITJ/NLU/Assignment_2/models/skipgram_dim300_win8_neg10.model
